"1,2-Dichloroethane","1,2-Dimethylbenzene :- {o-Xylene}",Active Aluminium : Dissolved,Alkalinity to pH 4.5 : Grans Plot,Alkalinity to pH 4.5 as CaCO3,Aluminium,"Aluminium, Dissolved",Ammonia un-ionised as N,Ammoniacal Nitrogen : Load,Ammoniacal Nitrogen as N,"Ammoniacal Nitrogen, Filtered as N",Anthracene,Arsenic,"Arsenic, Dissolved",BOD : 5 Day ATU,BOD : 5 Day ATU : Load,Barium,"Barium, Dissolved",Benzene,Benzo(a)Pyrene,Bicarbonate as HCO3,Boron,"Boron, Dissolved",CHLOROPHYLL,Cadmium,"Cadmium, Dissolved",Calcium,"Calcium, Dissolved","Carbon, Organic, Dissolved as C :- {DOC}",Chemical Oxygen Demand :- {COD},Chloride,Chlorine : Total Available,Chlorine : Total Available : Filtered,Chlorine Free as Cl2,Chloroform : Load :- {Trichloromethane},Chloroform :- {Trichloromethane},Chromium,Chromium : Load,"Chromium Hexavalent, Dissolved :- {Cr VI}","Chromium, Dissolved","Colour, Filtered",Conductivity at 25 C,Copper,Copper : BLM Bioavailable,Copper : Load,"Copper, Dissolved",Cyanide : Free as CN,Cypermethrin,Cypermethrin Identification,Deltamethrin,Descriptive Site Inspection : Pass/Fail 1/0,"Detergents, Anionic","Dimethylbenzene : Sum of (1,2- 1,3- 1,4-) :- {Xylene}","Dimethylbenzene : Sum of isomers (1,3- 1,4-)",Enterococci: Intestinal: Confirmed: MF,Enterococci: Intestinal: Presumptive: MF,Escherichia coli : Confirmed : MF,Flow : Daily total,"Flow, instantaneous",Fluoranthene,Fluoride,GCMS Screen : Semi-Volatile Screen: Semi Quantitative,HCH -gamma :- {Lindane},"Hardness, Total as CaCO3",Ionic Balance,Ionic Balance: Dissolved,Iron,"Iron, Dissolved",LCMS Screen : Semi Quantitative,Lead,Lead : BLM Bioavailable,"Lead, Dissolved",Lithium,"Lithium, Dissolved",MST Filtration,Magnesium,"Magnesium, Dissolved",Manganese,Manganese : BLM Bioavailable,"Manganese, Dissolved",Mercury,"Mercury, Dissolved",Nickel,Nickel : BLM Bioavailable,"Nickel, Dissolved",Nitrate as N,"Nitrate, Filtered as N",Nitrite as N,"Nitrite, Filtered as N","Nitrogen, Dissolved Inorganic : as N","Nitrogen, Kjeldahl as N","Nitrogen, Organic as N","Nitrogen, Total Oxidised as N","Nitrogen, Total Oxidised, Filtered as N","Nitrogen, Total as N",No flow /No sample,"Oils, Grease and Fats","Orthophosphate, Filtered as P","Orthophosphate, reactive as P","Oxygen, Dissolved as O2","Oxygen, Dissolved, % Saturation",PCB - 028,PCB - 052,PCB - 101,PCB - 118,PCB - 138,PCB - 153,PCB - 180,PCB : Total,Phenol,Phosphate :- {TIP},"Phosphorus, Total as P",Phytoplankton,Population Equivalent - Calculated,Potassium,"Potassium, Dissolved",Rotenone,Salinity : In Situ,Sample Depth below surface,Sampling Frequency,"Silica, reactive as SiO2","Silicate, Filtered as SiO2",Sodium,"Sodium, Dissolved","Solids, Suspended at 105 C",Strontium,"Strontium, Filtered",Sulphate as SO4,"Sulphate, Dissolved as SO4",Temperature of Water,Time of high tide,Time of sampling relative to previous high water,Toluene :- {Methylbenzene},Turbidity,Turbidity : In Situ,"Visible oil or grease, significant trace: Present/Not found (1/0)",Volume of Sample Filtered,Water Depth,Zinc,Zinc : BLM Bioavailable,Zinc : Load,"Zinc, Dissolved",cis-Permethrin,pH,pH : In Situ,trans-Permethrin
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,7.84,,
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,7.81,,
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.3,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,7.64,,
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,,
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,7.77,,
,,,,,,,,,0.5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,7.54,,
,,,,,,,,,0.5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,7.92,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,7.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,7.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,0.0011,0.127,,,,0.12,,,,0.018,,9.55,99,,,,,,,,,,,,1,,,,,33.76,0.2,,,0.39,,,,,,,,7.6,8.41,6.18,,,4.4,,3000,17.02,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,0.0021,0.137,,,,0.13,,,,0.02,,9.66,98.9,,,,,,,,,,,,1,,,,,33.93,0.2,,,0.4,,,,,,,,7,20.48,6.51,,,4.6,,3000,17.3,,,,,,,,
,,,,,,,,,,0.007,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308,,0.0021,0.317,,,,0.31,,,,0.02,,10.2,101.7,,,,,,,,,,,,1,,,,,30.77,0.2,,,0.94,,,,,,,,6.8,17.5,8.29,,,3.6,,2000,18.38,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,
,,,,65,,,0.0002,,0.019,,,,,,,,,,,,,,,,,,,4,,37,,,,,,,,,,,363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,,0.0055,,,,,3.7,,,,,,0.018,12.9,103,,,,,,,,,,,0.027,,,,,,,,,6,,,,,,,,,5.7,,,,,,,,,,,,,,7.9,,
,,,,86,,,0.00011,,0.011,,,,,,,,,,,,,,,,,,,5,,82,,,,,,,,,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,0.0045,,,,,2.2,,,,,,0.017,14,102.5,,,,,,,,,,,0.038,,,,,,,,,6.5,,,,,,,,,2.4,,,,,,,,,,,,,,8.06,,
,,,,53,,,5.00E-05,,0.013,,,,,,,,,,,,,,,,,,,2.3,,17,,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,0.0019,,,,,5.9,,,,,,0.011,12.2,100.4,,,,,,,,,,,0.019,,,,,,,,,4.4,,,,,,,,,6.9,,,,,,,,,,,,,,7.43,,
,,,,160,25,23,,,0.03,,,,,,,82,88,,,,100,100,,0.99,1.2,62,63,,,14,,,,,,0.5,,,0.5,,411,1,,,1,,,,,,,,,,,,,,,0.75,,,195,-1.68,,73,80,,7.9,,80,100,100,,9.3,9.2,63,,62,,,1.9,,2,,,0.004,,,,,0.31,,,,,,0.01,,97.6,,,,,,,,,,,,,,2.4,2.3,,,,,5.2,,8.3,8.2,3,300,290,39,,7.2,,,,,,,,,730,,,740,,7.8,7.69,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,7.18,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.21,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.5,,20,2.7,,,,,,,,,,,,,435,1.4,,,1.5,,,,,,,,,,,,,,,,,,,,,,52,,46,,37,,,,,3.8,,,,,,7.5,,7.8,,,,,,,,,,,,,,,,101.9,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2.7,,,,,,,,,2400,,,2400,,7.5,,
,,,,180,45,10,,,0.03,,,,,,,41,39,,,,100,100,,7.1,6.2,95,95,,,15,,,,,,0.5,,,0.5,,730,1.5,,,1,,,,,,,,,,,,,,,0.78,,,365,-2.5,,1100,30,,57,,21,100,100,,32,31,380,,320,,,18,,18,,,0.004,,,,,0.2,,,,,,0.01,11.29,99.2,,,,,,,,,,,,,,5.6,5.6,,,,,6,,11,11,7.6,410,400,210,,8.1,,,,,,,,,4600,,,3700,,8.2,8.35,
,,,,180,22,10,,,0.03,,,,,,,39,40,,,,100,100,,6.6,6.2,93,97,,,14,,,,,,0.5,,,0.5,,731,1.3,,,1.9,,,,,,,,,,,,,,,0.75,,,374,-3.79,,470,30,,15,,6.8,100,100,,31,32,330,,340,,,18,,17,,,0.004,,,,,0.2,,,,,,0.01,,100.9,,,,,,,,,,,,,,5.4,5.5,,,,,6.2,,10,11,4.4,400,410,210,,8.3,,,,,,,,,4100,,,3800,,8.3,8.31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,8.15,
,,,,,,,,,,,,,,,,,,,,,,,,5.8,6.1,,10,3.1,,,,,,,,,,,,,376,1.6,,,1.5,,,,,,,,,,,,,,,,,,,,,,76,,88,,75,,,,,2.4,,,,,,8.8,,9.3,,,,,,,,,,,,,,,,104.2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2.8,,,,,,,,,2400,,,2600,,7.16,,
,,,,,,,,,4.2,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11599,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.78,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0443,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.6,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0972,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5.1,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48269,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,
,,,,49,,,2.00E-05,,0.0028,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438,,0.0016,,,,,0.44,,,,,,0.0086,13.3,101.1,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,3.8,,,,2.8,,,,,,,,,,7.81,,
,,,,61,,,0.00016,,0.014,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408,,0.0023,,,,,0.41,,,,,,0.0087,13.5,101.4,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,3.5,,,,4.9,,,,,,,,,,8.24,,
,,,,63,,,0.00027,,0.03,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,,0.004,,,,,0.56,,,,,,0.011,13.6,102.6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3.6,,,,2.3,,,,,,,,,,7.89,,
,,,,53,,,3.00E-05,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084,,0.001,,,,,0.085,,,,,,0.0048,11.6,97.5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7.7,,,,3.5,,,,,,,,,,7.92,,
,,,,90,,,0.00034,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,,0.001,,,,,0.077,,,,,,0.0021,11.6,105.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,8.13,,
,,,,30,,,2.00E-05,,0.0084,,,,,,,,,,,,,,,,,,,17,,13,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,0.0012,,,,,0.3,,,,,,0.0082,13.1,99.4,,,,,,,,,,,0.028,,,,,,,,,3.9,,,,,,,,,3.7,,,,,,,,,,,,,,7.4,,
,,,,79,,,6.00E-05,,0.005,,,,,,,,,,,,,,,,,,,7.7,,22,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,0.0024,,,,,0.34,,,,,,0.0055,13.2,102,,,,,,,,,,,0.03,,,,,,,,,4.8,,,,,,,,,4.4,,,,,,,,,,,,,,8.04,,
,,,,62,,,0.00012,,0.018,,,,,,,,,,,,,,,,,,,7,,14,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.409,,0.0014,,,,,0.41,,,,,,0.0099,13.3,102.3,,,,,,,,,,,0.018,,,,,,,,,4.3,,,,,,,,,4.2,,,,,,,,,,,,,,7.74,,
,,,,150,160,160,,,0.033,,,,,,,17,18,,,,100,100,,1.2,1.3,79,80,,,16,,,,,,0.5,,,0.5,,566,1,,,1,,,,,,,,,,,,,,,3.2,,,253,-1.77,,2400,1700,,18,,44,100,100,,14,13,2500,,2500,,,27,,28,,,0.004,,,,,0.2,,,,,,0.01,,21.2,,,,,,,,,,,,,,7.1,7,,,,,7.4,,11,11,6.8,300,290,120,,9.4,,,,,,,,,1100,,,1100,,6.8,6.67,
